topic_major,Representation,tweet_count
climate,"['energy', 'renewableenergy', 'solar', 'electricity', 'renewables', 'renewable', 'power', 'electricvehicles', 'tesla', 'imagine', 'climate', 'weather', 'climatechange', 'climatecrisis', 'severeweather', 'globalwarming', 'rain', 'storm', 'tornado', 'change']",2366
conflict,"['gaza', 'israel', 'israeli', 'palestine', 'palestinian', 'genocide', 'gazagenocide', 'hamas', 'palestinians', 'freepalestine', 'pakistan', 'india', 'indian', 'indiapakistanwar', 'indianarmy', 'pakistani', 'pakistanarmy', 'operationsindoor', 'kashmir', 'air', 'ukraine', 'russia', 'putin', 'russian', 'ukrainian', 'war', 'nato', 'moscow', 'trump', 'zelensky', 'yemen', 'lebanon', 'houthis', 'iran', 'houthi', 'airport', 'syria', 'hezbollah']",12782
crypto,"['bitcoin', 'crypto', 'btc', 'cryptonews', 'ethereum', 'blockchain', 'solana', 'binance', 'finance', 'cardano', 'target', 'eth', 'signal', 'altcoin', 'memecoin', 'xau', 'entry', 'forex', 'trading', 'scam', 'cryptoscam', 'cryptorecovery', 'recovery', 'funds', 'assistance', 'scamalert', 'withdrawals', 'platforms', 'scammed']",11200
economy,"['investing', 'stockmarket', 'stocks', 'new', 'market', 'trading', 'gold', 'today', 'tech', 'yoy', 'revenue', 'qoq', 'ebitda', 'results', 'net', 'profit', 'nifty', 'earnings', 'margin', 'fed', 'inflation', 'powell', 'economy', 'rates', 'cut', 'interestrates', 'rate', 'federalreserve', 'recession']",50197
education,"['learning', 'edtech', 'education', 'students', 'teachers', 'schoolimprovement', 'school', 'proctorio', 'teaching', 'engagement']",1346
health,"['covid', 'health', 'vaccine', 'vaccines', 'cancer', 'healthcare', 'research', 'virus', 'fda', 'disease', 'fitness', 'wellness', 'natural', 'healthy', 'healthyliving', 'organic', 'workout', 'doc', 'asia']",5107
lifestyle,"['music', 'love', ‘life', 'happy', ‘good', 'donate', 'food', 'help', 'family', 'need', 'hunger','donation', 'donations', 'click', 'community', 'group']",6733
politics,"['trump', 'democrats', 'republicans', 'people', 'donaldtrump', 'president', 'maga', 'biden', 'white', 'america', 'tariffs', 'china', 'trade', 'tariff', 'economy', 'deal', 'chinese', 'tradewar', 'economic', 'canada', 'carney', 'canadian', 'alberta', 'mark', 'poilievre', 'canadians', 'election', 'markcarney']",18005
religion,"['god', 'jesus', 'bible', 'jesuschrist', 'faith', 'christians', 'trustgod', 'blessed', 'blessings', 'wellbeing', 'pope', 'leo', 'xiv', 'vatican', 'francis', 'catholic', 'church', 'new', 'prevost', 'cardinal']",1807
sports,"['nba', 'gamblingx', 'prizepicks', 'free', 'mlb', 'fanduel', 'gamblingtwitter', 'picks', 'betting', ‘bet’, ’messi’, ’ronaldo’, ‘goat’, ‘championsleague’, ‘uefa’, ‘fifa’, ‘worldcup’, ’football’, ‘basketball’, ‘gym’, ‘fit’]",7121
tech,"['openai', 'business', 'machinelearning', 'tech', 'google', 'chatgpt', 'innovation', 'biz', 'data', 'new', 'cybersecurity', 'infosec', 'hacking', 'security', 'cyber', 'malware', 'itsecurity', 'ransomware', 'cybercrime', ‘phishing’,  ‘telegram’, ‘grok’, ‘sony’, ‘xbox’]",4071
