,User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
7,@10WallStreet,Bio,"@10WallStreet
 is Most #Blocked, #Flagged & #Shadowbanned Account on #X. #DeepState Fears The Truth. Stay with 
@10WallStreet
 for a Truthful & Eventful 2025...","@10WallStreet
 is Most #Blocked & #Shadowbanned Account on #X. Failed Elite #Globalists Fear The Truth. Stay with 
@10WallStreet
 for a Truthful & Eventful 2025...",3.0,1
75,@AUTHENCHECK,Bio,"AUTHENCHECK® is an Elite Digital Asset bundle ready for the Perfect Visionary Buyer: Get the US Trademark, .com & .ai Domains, website + more. DM offer",AUTHENCHECK®,-139.0,1
102,@AhmedK2028,Bio,"Executive Coach|Blockchain Advisor|Ex Co-founder/Board Member.
M.Ed|EMBA|MScDigital Currency|MGSCC/GCG Executive/Team/Global Leadership Coach. My1200 B.C.",ExecCoach|BlockchainAdvisor|PermacultureDesigner|ExCo-founder/BoardMember*MEd|EMBA|MScDigitalCurrency|MGSCC/GCG Executive/Team/GlobalLeadershipCoach.My1200BC,3.0,1
130,@Alpha_Bronze,Bio,"Corporate Access, IR & media firm working w/ growth #LifeSciences #Tech #Mining #Energy #Consumer connect #WallStreet #Investors — No investment advice / DYODD","Corporate Access, IR & media firm working #LifeSciences #Tech #Defense #Mining #Energy firms to connect #WallStreet #Investors — No investment advice / DYODD",-2.0,1
152,@AngeloftheSeize,Bio,#Medic #BeVigilant #déjàvu Read #Constitution #DoYourJob #HardDaysWork #StyleandGrace #Pot is #dumbingdown #NoTaxOnSS http://bidenlaptopreport.marcopolousa.org,#Medic #BeVigilant #déjàvu Read #Constitution #DoYourJob #HardDaysWork #StyleandGrace #Pot s #dumbingdown #fentanylkills #NoTaxOnSocialSecurity #voteNOretention,1.0,1
168,@AntiDictatorSEA,Bio,"Share the movement in SEA #WhatsHappeningInMyanmar #FreeWestPapua #ຖ້າການເມືອງລາວດີ #ยกเลิก112 

This account is run by multiple mod and there's violence images","Share the movement in SEA #SaveMyanmar #FreeWestPapua #ຖ້າການເມືອງລາວດີ #ยกเลิก112

This account is run by multiple mod and there's violence images",-13.0,1
189,@AscendRebel,Bio,"𝐅𝐮𝐥𝐥-𝐓𝐢𝐦𝐞 𝐖𝐞𝐛𝟑 𝐆𝐫𝐢𝐧𝐝𝐞𝐫 ∆ 𝐃𝐞𝐅𝐢-𝐋𝐞𝐚𝐫𝐧𝐞𝐫 ∆ 𝐂𝐫𝐲𝐩𝐭𝐨 𝐒𝐭𝐮𝐝𝐞𝐧𝐭
∆ 𝐀𝐌𝐁 {
@IxfiExchange
 @AISUEDE
  @richpugtoken
 }

𝐈 𝐫𝐢𝐬𝐞","𝐅𝐮𝐥𝐥-𝐓𝐢𝐦𝐞 𝐖𝐞𝐛𝟑 𝐆𝐫𝐢𝐧𝐝𝐞𝐫 ∆ 𝐃𝐞𝐅𝐢-𝐋𝐞𝐚𝐫𝐧𝐞𝐫 ∆ 𝐂𝐫𝐲𝐩𝐭𝐨 𝐒𝐭𝐮𝐝𝐞𝐧𝐭 ∆ 𝐌𝐢𝐧𝐝𝐬𝐞𝐭 𝐀𝐥𝐩𝐡𝐚-𝐒𝐞𝐞𝐤𝐞𝐫 ∆
AMB 
@IxfiExchange",-15.0,3
222,@BWBusinessworld,Bio,BW Businessworld is India’s largest & most respected business magazine known for its independent opinions | http://bit.ly/fb-BW | http://bit.ly/yt-BW,BW Businessworld is India’s largest & most respected business magazine known for its independent opinions,-44.0,1
224,@BadDad936,Bio,"I am a father, husband, and veteran amongst other things. I identify as a toaster oven and an unapologetic asshole. Piece of Garbage Trump supporter #SBG","I am a father, husband, and veteran, amongst other things. I identify as a toaster oven and an unapologetic asshole. Piece of Garbage Trump supporter #SBG",1.0,1
228,@BajajBroking,Bio,"India’s Leading Investment & Trading App  Join 1 Million+ Happy Users |  Low Brokerage | Trusted for Decades | IPO, MTF & Stock SIPs under one roof","Making money matters simple. Clear tips, expert insights, and trusted advice to help you invest smarter.",-43.0,1
