User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
@00x48x,Followers,2637,2629,-8.0,7
@00x48x,Following,2610,2610,0.0,5
@03Chaberia,Followers,42,48,6.0,4
@03Chaberia,Following,184,200,16.0,3
@0Calamity,Following,6026,6036,10.0,4
@0xFiro,Followers,3143,3208,65.0,6
@0xFiro,Following,756,766,10.0,3
@10WallStreet,Bio,"@10WallStreet
 is Most #Blocked, #Flagged & #Shadowbanned Account on #X. #DeepState Fears The Truth. Stay with 
@10WallStreet
 for a Truthful & Eventful 2025...","@10WallStreet
 is Most #Blocked & #Shadowbanned Account on #X. Failed Elite #Globalists Fear The Truth. Stay with 
@10WallStreet
 for a Truthful & Eventful 2025...",3.0,1
@10WallStreet,Followers,1543,1555,12.0,7
@10WallStreet,Following,3236,3248,12.0,5
@10to82ndPower,Followers,20,20,0.0,4
@1234ira,Followers,51,57,6.0,3
@1234ira,Following,188,192,4.0,3
@1NATIONGuioguio,Followers,1240,1247,7.0,5
@1NATIONGuioguio,Following,4776,4789,13.0,6
@1STM2016,Followers,1001,1035,34.0,6
@1STM2016,Following,4204,4219,15.0,2
@1_becko,Followers,298,296,-2.0,3
@1_becko,Following,295,296,1.0,2
@1infinity_VC,Followers,52,51,-1.0,3
@1lagniappe3,Followers,35,36,1.0,5
@1oomtelgue,Followers,12,14,2.0,4
@1oomtelgue,Following,99,144,45.0,7
@1stIndiaNewsRaj,Followers,1664,2116,452.0,7
@1stIndiaNewsRaj,Following,3,2,-1.0,1
@1tech_talk,Following,2991,2703,-288.0,3
@2012j,Followers,238,224,-14.0,7
@2012j,Following,116,108,-8.0,4
@208geek,Followers,310,322,12.0,2
@208geek,Following,745,744,-1.0,1
@2PHDPODCAST,Followers,53,46,-7.0,5
@2PHDPODCAST,Following,786,787,1.0,1
@360Angola,Followers,21,22,1.0,4
@360_mozambique,Followers,1028,1033,5.0,6
@3DLabsNutrition,Following,15,16,1.0,1
@3Xtraders,Followers,3727,3777,50.0,6
@3Xtraders,Following,99,87,-12.0,2
@4FreedominIran,Following,668,675,7.0,3
@4_thegolden1,Followers,1078,1074,-4.0,7
@52Trades100toMl,Followers,44,41,-3.0,4
@61d24cb6df1a491,Followers,103,100,-3.0,5
@65MCMLXV,Followers,4375,4352,-23.0,6
@771Liberty,Followers,813,838,25.0,6
@771Liberty,Following,1001,1026,25.0,5
@786Peace786,Followers,167,179,12.0,6
@786Peace786,Following,1284,1375,91.0,7
@78tiger,Followers,2042,2051,9.0,6
@78tiger,Following,1808,1807,-1.0,5
@7kaVS0tvN987700,Followers,747,761,14.0,5
@7kaVS0tvN987700,Location,Osaka pre. Toyonaka,Shizuoka pre. Ito,,1
@7okesh,Followers,110,114,4.0,3
@7okesh,Following,76,74,-2.0,1
@8ananaRepublic,Followers,621,650,29.0,7
@8ananaRepublic,Following,568,571,3.0,3
@ABNewswire,Followers,1546,1552,6.0,6
@ACHRights,Followers,1009,1019,10.0,5
@ACaiden_Noah,Followers,55,56,1.0,3
@ACaptain_Noah,Followers,36,35,-1.0,1
@ACrowdedPlanet,Followers,729,738,9.0,7
@ACrowdedPlanet,Following,803,806,3.0,6
@AHRCUSA,Followers,919,921,2.0,5
@AHRCUSA,Following,2963,2965,2.0,5
@AIDE_ink,Followers,1851,1863,12.0,7
@AIIA_NDelhi,Following,73,74,1.0,1
@AI_Master_Mind1,Followers,32,33,1.0,7
@AI_Master_Mind1,Following,36,35,-1.0,1
@AIartgui,Followers,205,198,-7.0,5
@AIartgui,Following,180,179,-1.0,1
@AKemp315,Followers,789,792,3.0,2
@AKemp315,Following,1143,1146,3.0,2
@ANARwandaNews,Followers,323,324,1.0,5
@ANA_BreakNews,Followers,538,557,19.0,4
@ARahmanMahmud,Followers,114,119,5.0,5
@ARahmanMahmud,Following,89,90,1.0,1
@ASDFInt,Followers,291,293,2.0,5
@AUTHENCHECK,Bio,"AUTHENCHECK® is an Elite Digital Asset bundle ready for the Perfect Visionary Buyer: Get the US Trademark, .com & .ai Domains, website + more. DM offer",AUTHENCHECK®,-139.0,1
@AUTHENCHECK,Followers,1787,1805,18.0,7
@AUTHENCHECK,Following,96,94,-2.0,2
@AWN_English,Followers,860,900,40.0,5
@AWN_English,Following,75,75,0.0,2
@AaronWReed,Followers,3526,3547,21.0,7
@Abdul_8515,Followers,31,58,27.0,4
@Abdul_8515,Following,169,113,-56.0,4
@Abdul_8515,Location,India,india,,3
@Abhinandan1127,Followers,1078,1085,7.0,6
@Abhinandan1127,Following,563,567,4.0,3
@AboutKidsHealth,Followers,7690,7638,-52.0,4
@AboutKidsHealth,Following,3028,3029,1.0,3
@AbujamiTamer,Followers,717,773,56.0,7
@AbujamiTamer,Following,3229,3335,106.0,7
@ActivistBowen2,Followers,4416,4434,18.0,7
@ActivistBowen2,Following,4664,4674,10.0,9
@AdarshKumar206,Followers,434,435,1.0,3
@AdarshKumar206,Following,577,578,1.0,6
@Adibfaizz,Followers,198,211,13.0,6
@Adibfaizz,Following,589,661,72.0,6
@AdvocateIndian,Followers,845,839,-6.0,5
@AdvocateIndian,Following,254,255,1.0,1
@Afsar1007,Followers,99,98,-1.0,2
@Ahm3d_osm,Followers,33,30,-3.0,4
@Ahm3d_osm,Following,89,101,12.0,6
@AhmadRehanKhan,Following,3483,3494,11.0,7
