,User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
0,@00x48x,Followers,2637,2629,-8.0,7
2,@03Chaberia,Followers,42,48,6.0,4
5,@0xFiro,Followers,3143,3208,65.0,6
8,@10WallStreet,Followers,1543,1555,12.0,7
10,@10to82ndPower,Followers,20,20,0.0,4
11,@1234ira,Followers,51,57,6.0,3
13,@1NATIONGuioguio,Followers,1240,1247,7.0,5
15,@1STM2016,Followers,1001,1035,34.0,6
17,@1_becko,Followers,298,296,-2.0,3
19,@1infinity_VC,Followers,52,51,-1.0,3
20,@1lagniappe3,Followers,35,36,1.0,5
21,@1oomtelgue,Followers,12,14,2.0,4
23,@1stIndiaNewsRaj,Followers,1664,2116,452.0,7
26,@2012j,Followers,238,224,-14.0,7
28,@208geek,Followers,310,322,12.0,2
30,@2PHDPODCAST,Followers,53,46,-7.0,5
32,@360Angola,Followers,21,22,1.0,4
33,@360_mozambique,Followers,1028,1033,5.0,6
35,@3Xtraders,Followers,3727,3777,50.0,6
38,@4_thegolden1,Followers,1078,1074,-4.0,7
39,@52Trades100toMl,Followers,44,41,-3.0,4
40,@61d24cb6df1a491,Followers,103,100,-3.0,5
41,@65MCMLXV,Followers,4375,4352,-23.0,6
42,@771Liberty,Followers,813,838,25.0,6
44,@786Peace786,Followers,167,179,12.0,6
46,@78tiger,Followers,2042,2051,9.0,6
48,@7kaVS0tvN987700,Followers,747,761,14.0,5
50,@7okesh,Followers,110,114,4.0,3
52,@8ananaRepublic,Followers,621,650,29.0,7
54,@ABNewswire,Followers,1546,1552,6.0,6
55,@ACHRights,Followers,1009,1019,10.0,5
56,@ACaiden_Noah,Followers,55,56,1.0,3
57,@ACaptain_Noah,Followers,36,35,-1.0,1
58,@ACrowdedPlanet,Followers,729,738,9.0,7
60,@AHRCUSA,Followers,919,921,2.0,5
62,@AIDE_ink,Followers,1851,1863,12.0,7
64,@AI_Master_Mind1,Followers,32,33,1.0,7
66,@AIartgui,Followers,205,198,-7.0,5
68,@AKemp315,Followers,789,792,3.0,2
70,@ANARwandaNews,Followers,323,324,1.0,5
71,@ANA_BreakNews,Followers,538,557,19.0,4
72,@ARahmanMahmud,Followers,114,119,5.0,5
74,@ASDFInt,Followers,291,293,2.0,5
76,@AUTHENCHECK,Followers,1787,1805,18.0,7
78,@AWN_English,Followers,860,900,40.0,5
80,@AaronWReed,Followers,3526,3547,21.0,7
81,@Abdul_8515,Followers,31,58,27.0,4
84,@Abhinandan1127,Followers,1078,1085,7.0,6
86,@AboutKidsHealth,Followers,7690,7638,-52.0,4
88,@AbujamiTamer,Followers,717,773,56.0,7
90,@ActivistBowen2,Followers,4416,4434,18.0,7
92,@AdarshKumar206,Followers,434,435,1.0,3
94,@Adibfaizz,Followers,198,211,13.0,6
96,@AdvocateIndian,Followers,845,839,-6.0,5
98,@Afsar1007,Followers,99,98,-1.0,2
99,@Ahm3d_osm,Followers,33,30,-3.0,4
103,@AhmedK2028,Followers,250,254,4.0,6
105,@AhmetUr94898233,Followers,4498,4750,252.0,8
107,@AiMoisey,Followers,1460,1524,64.0,5
109,@AiThority,Followers,7602,7578,-24.0,7
110,@Aikira_AI,Followers,573,595,22.0,6
112,@AimforProfit,Followers,675,676,1.0,4
114,@AkulmachLive,Followers,2116,2112,-4.0,5
116,@AlanWainstein,Followers,43,40,-3.0,4
