,User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
1,@00x48x,Following,2610,2610,0.0,5
3,@03Chaberia,Following,184,200,16.0,3
4,@0Calamity,Following,6026,6036,10.0,4
6,@0xFiro,Following,756,766,10.0,3
9,@10WallStreet,Following,3236,3248,12.0,5
12,@1234ira,Following,188,192,4.0,3
14,@1NATIONGuioguio,Following,4776,4789,13.0,6
16,@1STM2016,Following,4204,4219,15.0,2
18,@1_becko,Following,295,296,1.0,2
22,@1oomtelgue,Following,99,144,45.0,7
24,@1stIndiaNewsRaj,Following,3,2,-1.0,1
25,@1tech_talk,Following,2991,2703,-288.0,3
27,@2012j,Following,116,108,-8.0,4
29,@208geek,Following,745,744,-1.0,1
31,@2PHDPODCAST,Following,786,787,1.0,1
34,@3DLabsNutrition,Following,15,16,1.0,1
36,@3Xtraders,Following,99,87,-12.0,2
37,@4FreedominIran,Following,668,675,7.0,3
43,@771Liberty,Following,1001,1026,25.0,5
45,@786Peace786,Following,1284,1375,91.0,7
47,@78tiger,Following,1808,1807,-1.0,5
51,@7okesh,Following,76,74,-2.0,1
53,@8ananaRepublic,Following,568,571,3.0,3
59,@ACrowdedPlanet,Following,803,806,3.0,6
61,@AHRCUSA,Following,2963,2965,2.0,5
63,@AIIA_NDelhi,Following,73,74,1.0,1
65,@AI_Master_Mind1,Following,36,35,-1.0,1
67,@AIartgui,Following,180,179,-1.0,1
69,@AKemp315,Following,1143,1146,3.0,2
73,@ARahmanMahmud,Following,89,90,1.0,1
77,@AUTHENCHECK,Following,96,94,-2.0,2
79,@AWN_English,Following,75,75,0.0,2
82,@Abdul_8515,Following,169,113,-56.0,4
85,@Abhinandan1127,Following,563,567,4.0,3
87,@AboutKidsHealth,Following,3028,3029,1.0,3
89,@AbujamiTamer,Following,3229,3335,106.0,7
91,@ActivistBowen2,Following,4664,4674,10.0,9
93,@AdarshKumar206,Following,577,578,1.0,6
95,@Adibfaizz,Following,589,661,72.0,6
97,@AdvocateIndian,Following,254,255,1.0,1
100,@Ahm3d_osm,Following,89,101,12.0,6
101,@AhmadRehanKhan,Following,3483,3494,11.0,7
104,@AhmedK2028,Following,2477,2500,23.0,4
106,@AhmetUr94898233,Following,6331,7032,701.0,9
108,@AiMoisey,Following,4198,3878,-320.0,6
111,@Aikira_AI,Following,40,47,7.0,5
113,@AimforProfit,Following,1544,1579,35.0,5
115,@AkulmachLive,Following,4881,4872,-9.0,4
119,@Alejandroverra,Following,234,233,-1.0,1
121,@Alevskey,Following,1342,1341,-1.0,3
123,@Alex27740737,Following,1037,1035,-2.0,3
125,@Alex58Gv,Following,56,56,0.0,2
129,@AllUKFootball,Following,1443,1443,0.0,6
132,@Alpha_Bronze,Following,4472,4467,-5.0,2
135,@AlwaysVoteTruth,Following,527,527,0.0,3
138,@AmeetaSanghavi,Following,872,870,-2.0,4
142,@AmitxUpdates,Following,462,468,6.0,2
146,@AnandYadav002,Following,760,793,33.0,6
147,@AndiMbss,Following,51,52,1.0,1
150,@AndrewHigsdrew,Following,833,840,7.0,5
154,@AngeloftheSeize,Following,6586,7015,429.0,6
156,@AngryBMBC2023,Following,625,662,37.0,7
158,@Animal_Nurse,Following,468,478,10.0,3
160,@Ann87971634,Following,284,287,3.0,3
162,@Anonymous41961,Following,2371,2340,-31.0,5
164,@AntSeattle,Following,6871,6864,-7.0,6
167,@Anthony31277490,Following,271,270,-1.0,3
170,@AntiDictatorSEA,Following,2771,2994,223.0,6
172,@AnythingbutF,Following,2234,2236,2.0,1
174,@AponiaAnalytics,Following,3943,4800,857.0,8
176,@AppaloosaKid,Following,789,789,0.0,2
177,@Apress,Following,2541,2539,-2.0,6
179,@ArabCenterWDC,Following,211,210,-1.0,1
181,@Archana05583518,Following,58,53,-5.0,3
184,@ArmyVet2013,Following,50,55,5.0,2
186,@ArraourAli,Following,666,737,71.0,4
188,@AruniJayasekera,Following,216,216,0.0,2
191,@AscendRebel,Following,536,722,186.0,6
193,@AsherSiegel01,Following,268,268,0.0,2
194,@AsianetNewsEN,Following,876,875,-1.0,1
196,@AstuteGaba,Following,2459,2421,-38.0,8
198,@AtherGazali,Following,1203,1209,6.0,4
200,@AtomsDNA,Following,2320,2349,29.0,5
202,@AutoFinanceNews,Following,2265,2262,-3.0,2
204,@AwazTheVoiceHin,Following,611,612,1.0,3
205,@AwazThevoice,Following,1117,1116,-1.0,4
208,@AzSenzor,Following,427,426,-1.0,1
210,@AzerNewsAz,Following,169,168,-1.0,1
212,@BAMBossie81,Following,109,106,-3.0,3
215,@BHAMMedicalNews,Following,433,439,6.0,1
219,@BRAVENEWEUROPE1,Following,455,455,0.0,3
223,@BWBusinessworld,Following,446,445,-1.0,1
226,@BadDad936,Following,472,480,8.0,4
231,@BanksterSlayer,Following,744,756,12.0,3
234,@BaraqRony,Following,365,370,5.0,2
236,@BarefootGenX,Following,953,954,1.0,4
239,@Barry_Snyder,Following,125,127,2.0,2
241,@Basketball_SK,Following,404,405,1.0,1
243,@BedminsterNews,Following,7484,7460,-24.0,7
245,@BenBeni22937377,Following,29,32,3.0,2
247,@BernardBri66134,Following,2283,2279,-4.0,4
250,@BharatStockLive,Following,58,65,7.0,5
251,@Bhekisisa_MG,Following,884,885,1.0,1
253,@BillieChipieMtl,Following,470,468,-2.0,2
256,@BioBoostt,Following,213,216,3.0,1
259,@BizPartnerMag,Following,4520,4515,-5.0,3
264,@Blubaycrab,Following,995,1017,22.0,3
266,@BlueMooGuns,Following,3799,3595,-204.0,8
267,@BmbEmpower,Following,1916,1927,11.0,5
271,@Bodruddoza19111,Following,81,85,4.0,3
273,@BoldlygoSeattle,Following,7122,7178,56.0,6
276,@Botconsults,Following,374,391,17.0,3
278,@Boujee_101,Following,852,885,33.0,4
281,@BrainRacers,Following,1394,1393,-1.0,3
283,@BreakingOnCom,Following,49,50,1.0,1
285,@BritSkips,Following,289,292,3.0,3
290,@BslashyP,Following,176,177,1.0,1
292,@BuffWoofer,Following,4393,4392,-1.0,3
296,@BullishBanterS,Following,112,112,0.0,2
298,@BusinessConne16,Following,251,250,-1.0,1
300,@BusinessNewsPo1,Following,837,843,6.0,2
303,@BuyBTCcoinX,Following,111,113,2.0,1
306,@CALIVEDATA,Following,87,89,2.0,2
308,@CBT_BOYZ,Following,40,39,-1.0,1
310,@CClancy43644154,Following,667,668,1.0,3
313,@CFlyersTV,Following,619,612,-7.0,3
314,@CGodhuli67851,Following,19,36,17.0,1
316,@CHIGGINBASKET,Following,5134,5140,6.0,5
318,@CHPSRE,Following,7507,7506,-1.0,4
320,@CITE_EDU,Following,2693,2688,-5.0,3
322,@CKPillai_AI_Pro,Following,70,63,-7.0,4
324,@CK_atwarpspeed,Following,4332,4333,1.0,3
326,@CMichelW,Following,2870,2873,3.0,2
328,@CNBCTV18News,Following,180,177,-3.0,2
329,@CNBC_Awaaz,Following,175,175,0.0,2
330,@CNNnews18,Following,400,399,-1.0,1
334,@CULTURALPATHS,Following,4001,3995,-6.0,4
336,@CXCounselors,Following,1984,1983,-1.0,1
338,@CaNdy_FI0ss,Following,91,93,2.0,4
340,@Calblue5491,Following,114,114,0.0,2
342,@CampbellAJ70,Following,3512,3500,-12.0,6
343,@Campus_Tech,Following,438,437,-1.0,1
345,@Captain35E,Following,2599,2600,1.0,2
349,@Carinanq1,Following,188,173,-15.0,6
351,@Carlos_LopezMkt,Following,79,78,-1.0,1
353,@CarvalhoSousa29,Following,1448,1470,22.0,4
357,@CathyMcInturff,Following,7365,7371,6.0,4
359,@CauseAlways,Following,117,118,1.0,1
364,@ChaniDem,Following,2607,2605,-2.0,5
367,@CharlesBLedford,Following,3123,3129,6.0,6
368,@ChartingProdigy,Following,475,488,13.0,4
370,@ChasinCards,Following,525,526,1.0,2
374,@CheekyCommons,Following,252,258,6.0,3
376,@CheperkaKathy,Following,4104,4107,3.0,6
378,@Cherylcani1,Following,204,205,1.0,1
380,@ChetKincaid3,Following,1467,1477,10.0,4
382,@Chickadee50Bee,Following,412,0,-412.0,6
384,@ChrisArienti,Following,1490,1491,1.0,2
386,@ChrisJames7327,Following,374,373,-1.0,3
388,@ChrisLewisLLS,Following,3486,3498,12.0,5
391,@ChristineGuent8,Following,1218,1223,5.0,6
