,User_ID,User_Name,Unnamed: 2,Prev_Value,Curr_Value,Changed_Field,Delta
158,@00x48x,00,,2637,2636,Followers,-1.0
910,@00x48x,00,,2636,2637,Followers,1.0
984,@00x48x,00,,2637,2634,Followers,-3.0
2722,@00x48x,00,,2634,2639,Followers,5.0
4418,@00x48x,00,,2639,2634,Followers,-5.0
6458,@00x48x,00,,2634,2630,Followers,-4.0
10175,@00x48x,00,,2630,2629,Followers,-1.0
909,@00x48x,00,,2610,2615,Following,5.0
983,@00x48x,00,,2615,2613,Following,-2.0
2721,@00x48x,00,,2613,2614,Following,1.0
4417,@00x48x,00,,2614,2611,Following,-3.0
6457,@00x48x,00,,2611,2610,Following,-1.0
4308,@03Chaberia,siddharth_chaberia_03,,42,41,Followers,-1.0
6314,@03Chaberia,siddharth_chaberia_03,,41,44,Followers,3.0
10054,@03Chaberia,siddharth_chaberia_03,,44,42,Followers,-2.0
12822,@03Chaberia,siddharth_chaberia_03,,42,48,Followers,6.0
2599,@03Chaberia,siddharth_chaberia_03,,184,186,Following,2.0
6313,@03Chaberia,siddharth_chaberia_03,,186,190,Following,4.0
12821,@03Chaberia,siddharth_chaberia_03,,190,200,Following,10.0
3938,@0Calamity,CrémantCommunarde #ResistHate,,6026,6029,Following,3.0
7835,@0Calamity,CrémantCommunarde #ResistHate,,6029,6028,Following,-1.0
9651,@0Calamity,CrémantCommunarde #ResistHate,,6028,6027,Following,-1.0
12242,@0Calamity,CrémantCommunarde #ResistHate,,6027,6036,Following,9.0
2254,@0xFiro,Firo,,3143,3148,Followers,5.0
3939,@0xFiro,Firo,,3148,3142,Followers,-6.0
5845,@0xFiro,Firo,,3142,3156,Followers,14.0
7837,@0xFiro,Firo,,3156,3165,Followers,9.0
9652,@0xFiro,Firo,,3165,3160,Followers,-5.0
12244,@0xFiro,Firo,,3160,3208,Followers,48.0
2253,@0xFiro,Firo,,756,755,Following,-1.0
7836,@0xFiro,Firo,,755,756,Following,1.0
12243,@0xFiro,Firo,,756,766,Following,10.0
10791,@10WallStreet,@10WallStreet,,"@10WallStreet
 is Most #Blocked, #Flagged & #Shadowbanned Account on #X. #DeepState Fears The Truth. Stay with 
@10WallStreet
 for a Truthful & Eventful 2025...","@10WallStreet
 is Most #Blocked & #Shadowbanned Account on #X. Failed Elite #Globalists Fear The Truth. Stay with 
@10WallStreet
 for a Truthful & Eventful 2025...",Bio,3.0
653,@10WallStreet,@10WallStreet,,1543,1548,Followers,5.0
1601,@10WallStreet,@10WallStreet,,1548,1547,Followers,-1.0
3315,@10WallStreet,@10WallStreet,,1547,1551,Followers,4.0
5108,@10WallStreet,@10WallStreet,,1551,1552,Followers,1.0
7152,@10WallStreet,@10WallStreet,,1552,1555,Followers,3.0
8959,@10WallStreet,@10WallStreet,,1555,1556,Followers,1.0
10793,@10WallStreet,@10WallStreet,,1556,1555,Followers,-1.0
1600,@10WallStreet,@10WallStreet,,3236,3242,Following,6.0
3314,@10WallStreet,@10WallStreet,,3242,3244,Following,2.0
7151,@10WallStreet,@10WallStreet,,3244,3245,Following,1.0
8958,@10WallStreet,@10WallStreet,,3245,3246,Following,1.0
